recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, ms_surv_8_trt, ms_surv_12_trt, ms_surv_8_ctrl, ms_surv_12_ctrl, cutoff_used
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 121.75, 0.8, 0.000510507538798147, 0, 1930.61553444839, 1328.64858687476, 1580.81561579395, 1095.75, 0.819958227285944, 0.820032956354078, 0.870079539983437, 0.817646703005415, 0.857243982853073, 0.7937005259841, 18041.5364553861
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 121.75, 0.8, 0.000510507538798147, 0, 1930.61553444839, 1328.64858687476, 1580.81561579395, 1095.75, 0.819958227285944, 0.820032956354078, 0.870079539983437, 0.817646703005415, 0.857243982853073, 0.7937005259841, 18041.5364553861
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 121.75, 0.8, 0.000510507538798147, 0, 1930.61553444839, 1328.64858687476, 1580.81561579395, 1095.75, 0.819958227285944, 0.820032956354078, 0.870079539983437, 0.817646703005415, 0.857243982853073, 0.7937005259841, 18041.5364553861
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 121.75, 0.8, 0.000510507538798147, 0, 1930.61553444839, 1328.64858687476, 1580.81561579395, 1095.75, 0.819958227285944, 0.820032956354078, 0.870079539983437, 0.817646703005415, 0.857243982853073, 0.7937005259841, 18041.5364553861
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 121.75, 0.8, 0.000510507538798147, 0, 1930.61553444839, 1328.64858687476, 1580.81561579395, 1095.75, 0.819958227285944, 0.820032956354078, 0.870079539983437, 0.817646703005415, 0.857243982853073, 0.7937005259841, 18041.5364553861
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 121.75, 0.8, 0.0011669998711882, 0, 788.75027209564, 517.721012321367, 526.944198827662, 365.25, 0.679901796171452, 0.681805174411786, 0.688574820819348, 0.597373024641155, 0.629960524947437, 0.5, 7892.32338354803
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 121.75, 0.8, 0.0011669998711882, 0, 788.75027209564, 517.721012321367, 526.944198827662, 365.25, 0.679901796171452, 0.681805174411786, 0.688574820819348, 0.597373024641155, 0.629960524947437, 0.5, 7892.32338354803
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 121.75, 0.8, 0.00129986242979598, 0, 719.240414555719, 477.247712512411, 526.94360166427, 365.25, 0.740583804993341, 0.741549001992588, 0.677526026807375, 0.578356070045724, 0.629960524947437, 0.5, 7085.62703317901
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0, 121.75, 0.8, 0.00129986242979598, 0, 719.240414555719, 477.247712512411, 526.94360166427, 365.25, 0.740583804993341, 0.741549001992588, 0.677526026807375, 0.578356070045724, 0.629960524947437, 0.5, 7085.62703317901
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0, 121.75, 0.8, 0.00148053675011508, 0, 644.729016953338, 433.865265181617, 526.940431674665, 365.25, 0.821176297019334, 0.821467466690785, 0.662785142786424, 0.553463341798541, 0.629960524947437, 0.5, 6220.9468095002
